endTime,artistName,trackName,msPlayed
2020-09-19 22:56,Bowling For Soup,Almost,206160
2020-09-19 23:12,We The Kings,Kids In The Moonlight,90581
2020-09-20 03:10,Lady Gaga,Applause,76159
2020-09-20 03:20,Zac Brown Band,Knee Deep (feat. Jimmy Buffett),91445
2020-09-20 03:21,Rascal Flatts,Mayberry,78365
2020-09-20 03:25,Rascal Flatts,Bless The Broken Road,203105
2020-09-20 05:40,Ska 86 Project,Summer Time,155338
2020-09-20 07:23,Five For Fighting,Superman (It's Not Easy),221693
2020-09-20 07:27,Skylar Grey,I Will Return,236440
2020-09-20 07:28,American Authors,Luck,31611
2020-09-21 03:23,Gin Blossoms,Hey Jealousy,159721
2020-09-21 06:15,Chris Stapleton,Starting Over,159460
2020-09-21 18:29,Parachute,Lonely With Me,39880
2020-09-21 18:30,Alex Frecon,I'm from Minnesota,38370
2020-09-21 18:31,Judah & the Lion,Never Give Up On You,62100
2020-09-21 18:32,Josh Melton,Staycation,46870
2020-09-21 18:32,Daughtry,Long Live Rock & Roll,51210
2020-09-21 18:33,Beyond The Sun,Doing Alright,55280
2020-09-21 18:34,Ian McConnell,Bad Idea,30530
2020-09-21 18:34,Patent Pending,Punk Rock Songs,44770
2020-09-21 18:35,Dom Taino,Oh Sherrie... (Oh Cherie),39880
2020-09-21 18:36,Bryce Hensley,Growin' Up in Me,37990
2020-09-21 18:37,Brooks Jefferson,Callin' Baton Rouge,53720
2020-09-21 18:37,Paul Overstreet,"Wine, Sunshine, and an Ocean",33190
2020-09-21 18:38,Jon Robert Hall,Tijuana,45330
2020-09-21 18:41,Pryor & Lee,Y'allsome,32510
2020-09-21 18:44,Danny Jones,Eventhough We Ain't Got Money,37100
2020-09-21 18:45,Steven Lee Olsen,Can't Not - Acoustic,41470
2020-09-21 18:49,Keith Urban,One Too Many,121270
2020-09-21 19:52,Luke Combs,Without You,164060
2020-09-21 19:54,Rise Against,"Broken Dreams, Inc.",32060
2020-09-21 19:55,Rise Against,Prayer Of The Refugee,43380
2020-09-21 19:55,Rise Against,Satellite,56600
2020-09-21 20:01,Luke Combs,Lovin' On You,83820
2020-09-21 20:03,Justin Bieber,Holy (feat. Chance The Rapper),124950
2020-09-21 20:04,Billie Joe Armstrong,Kids in America,66770
2020-09-21 20:05,Kim Wilde,Kids In America,50520
2020-09-21 20:12,Bon Jovi,Do What You Can,48590
2020-09-21 20:13,Luis Fonsi,Perfecta,46780
2020-09-21 20:20,Adventure Time,Eternity With You (feat. Michaela Dietz & Gilligan Moss) - [Gilligan Moss Mix] [From Adventure Time: Distant Lands BMO’s Mixtape],56920
2020-09-21 20:20,MAX,Blueberry Eyes (feat. SUGA of BTS),42880
2020-09-22 01:56,Gente De Zona,Otra Botella,226186
2020-09-22 01:57,Miley Cyrus,The Climb,48631
2020-09-22 02:04,Lady A,American Honey,224866
2020-09-22 02:19,Dallas Smith,Some Things Never Change (feat. HARDY),171626
2020-09-22 02:31,Neon Trees,Nights,130536
2020-09-22 02:38,Rifti Beats,Cha La Head Cha La,224307
2020-09-22 02:53,Florida Georgia Line,U.S. Stronger,184186
2020-09-22 03:00,Boys Like Girls,Heels Over Head - Tom Lord-Alge Mix,83106
2020-09-22 03:16,Rise Against,Satellite,191760
2020-09-22 03:16,Ska 86 Project,Summer Time,32736
2020-09-22 03:20,Fairground Saints,Somethin' From Nothin',199504
2020-09-22 03:24,Chris Stapleton,Starting Over,240413
2020-09-22 03:25,Keith Urban,I'm In,47299
2020-09-22 04:31,Kelsea Ballerini,the other girl (with Halsey),48638
2020-09-22 04:31,Kelsea Ballerini,Better Luck Next Time,48226
2020-09-22 04:34,Kelsea Ballerini,half of my hometown - ballerini album version,75389
2020-09-22 04:47,U2,Bang A Gong (Get It On),84516
2020-09-22 04:50,Cooper James,Teach a Man to Fish,57556
2020-09-22 04:52,Spencer Crandall,Things I Can't Say (feat. Julia Cole),150998
2020-09-22 04:53,Spencer Crandall,My Person,53555
2020-09-22 04:56,B.o.B,Letters from Vietnam,87098
2020-09-22 04:58,Tim McGraw,Hold You Tonight,131818
2020-09-22 05:00,The Killers,My God (feat. Weyes Blood),80518
2020-09-22 05:12,Keith Urban,One Too Many,157606
2020-09-22 17:41,Luke Combs,Without You,224986
2020-09-22 18:10,Carrie Underwood,Some Hearts,76773
2020-09-22 19:20,Sam Hunt,Hard To Forget,204760
2020-09-22 19:25,Los Lobos,One Time One Night,289306
2020-09-22 19:29,Dan + Shay,My Side of the Fence,219826
2020-09-22 19:37,Dean Brody,It's Friday,190960
2020-09-22 19:44,Tame Impala,The Less I Know The Better,216320
2020-09-22 20:38,Billie Joe Armstrong,Kids in America,188757
2020-09-22 20:42,Five For Fighting,Superman (It's Not Easy),221693
2020-09-22 20:44,Common Kings,Wade In Your Water,106300
2020-09-22 20:55,Jelani Aryeh,Stella Brown,187415
2020-09-22 21:05,Old Dominion,My Heart Is a Bar,238986
2020-09-22 21:19,The Goo Goo Dolls,Sympathy,178146
