,endTime,artistName,trackName,Genre,Day of the Week,Genres,msPlayed
618,5/3/2020 19:52,The Beatles,"Ob-La-Di, Ob-La-Da - Remastered 2009",beatlesque,Sunday,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']",188960
619,5/3/2020 19:56,Billy Joel,The Longest Time,album rock,Sunday,"['album rock', 'classic rock', 'folk rock', 'mellow gold', 'piano rock', 'rock', 'singer-songwriter', 'soft rock']",77381
620,5/3/2020 19:57,Declan McKenna,Brazil,indie pop,Sunday,"['indie pop', 'modern alternative rock', 'modern rock', 'rock']",62985
621,5/3/2020 20:01,Emotional Oranges,West Coast Love,alternative r&b,Sunday,['alternative r&b'],212199
622,5/3/2020 20:05,Enrique Iglesias,Bailando - Spanish Version,dance pop,Sunday,"['dance pop', 'latin', 'latin pop', 'mexican pop', 'pop', 'tropical']",62971
623,5/3/2020 21:05,Jay Park,좋아 Joah (Remastered),k-pop,Sunday,"['k-pop', 'k-rap', 'korean r&b']",230085
624,5/3/2020 21:08,Macklemore & Ryan Lewis,White Walls (feat. ScHoolboy Q & Hollis),dance pop,Sunday,"['dance pop', 'pop', 'pop dance', 'pop rap', 'seattle hip hop']",219425
625,5/3/2020 21:09,Ed Sheeran,Thinking out Loud,pop,Sunday,"['pop', 'uk pop']",42560
626,5/4/2020 0:30,Jeremy Camp,Jesus Saves,anthem worship,Monday,"['anthem worship', 'ccm', 'christian alternative rock', 'christian music', 'world worship', 'worship']",225797
627,5/4/2020 0:38,Riley Green,I Wish Grandpas Never Died,contemporary country,Monday,"['contemporary country', 'country road']",250413
628,5/4/2020 0:42,One Direction,Story of My Life,boy band,Monday,"['boy band', 'pop', 'post-teen pop', 'talent show']",245493
629,5/4/2020 0:45,American Authors,Go Big Or Go Home,indie poptimism,Monday,"['indie poptimism', 'modern alternative rock', 'modern rock', 'pop rock']",169026
630,5/4/2020 0:59,Nico & Vinz,Am I Wrong,dance pop,Monday,"['dance pop', 'pop rap']",111306
631,5/4/2020 3:29,Yiruma,Kiss The Rain,neo-classical,Monday,"['neo-classical', 'new age piano']",260653
632,5/4/2020 3:39,John Denver,"Leaving, On a Jet Plane - ""Greatest Hits"" Version",adult standards,Monday,"['adult standards', 'classic country pop', 'folk', 'folk rock', 'mellow gold', 'soft rock']",245533
633,5/4/2020 3:49,Old Dominion,Some People Do,contemporary country,Monday,"['contemporary country', 'country road']",196266
634,5/4/2020 3:53,Blue Öyster Cult,Burnin' for You,album rock,Monday,"['album rock', 'art rock', 'blues rock', 'classic rock', 'hard rock', 'metal', 'rock', 'soft rock']",271000
635,5/4/2020 3:57,Guy Sebastian,Like It Like That,australian pop,Monday,"['australian pop', 'australian talent show']",241973
636,5/4/2020 4:01,Lady Gaga,Applause,dance pop,Monday,"['dance pop', 'pop', 'pop dance']",212333
637,5/4/2020 4:04,Brett Eldredge,Beat of the Music,contemporary country,Monday,"['contemporary country', 'country', 'country road', 'modern country rock']",179293
638,5/4/2020 4:06,Anthony Gonzalez,Proud Corazón,movie tunes,Monday,['movie tunes'],123703
639,5/4/2020 4:11,Keith Urban,Somebody Like You,australian country,Monday,"['australian country', 'australian pop', 'contemporary country', 'country', 'country road']",323040
640,5/4/2020 4:16,Los Lobos,"Come On, Let's Go",roots rock,Monday,['roots rock'],120466
641,5/4/2020 4:21,Keith Urban,Cop Car,australian country,Monday,"['australian country', 'australian pop', 'contemporary country', 'country', 'country road']",256746
642,5/4/2020 4:23,Andy Grammer,Fine By Me,dance pop,Monday,"['dance pop', 'modern rock', 'neo mellow', 'pop', 'pop rock', 'post-teen pop']",172893
643,5/4/2020 4:27,Old Dominion,Song for Another Time,contemporary country,Monday,"['contemporary country', 'country road']",191826
644,5/4/2020 4:30,OMI,Cheerleader - Felix Jaehn Remix Radio Edit,dance pop,Monday,"['dance pop', 'pop dance']",181826
645,5/4/2020 4:33,AMP,Far Greater,christian,Monday,['christian'],225020
646,5/4/2020 4:38,Big Daddy Weave,My Story,anthem worship,Monday,"['anthem worship', 'ccm', 'christian alternative rock', 'christian music', 'worship']",278320
647,5/4/2020 4:42,U2,Beautiful Day,irish rock,Monday,"['irish rock', 'permanent wave', 'rock']",244866
648,5/4/2020 4:46,Duran Duran,Hungry Like the Wolf - 2009 Remaster,dance rock,Monday,"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'rock', 'synthpop']",220626
649,5/4/2020 4:49,Sidewalk Prophets,Smile,anthem worship,Monday,"['anthem worship', 'ccm', 'christian alternative rock', 'christian indie', 'christian music', 'christian pop', 'worship']",176133
650,5/4/2020 4:52,KONGOS,Come with Me Now,modern alternative rock,Monday,"['modern alternative rock', 'modern blues rock', 'modern rock', 'south african pop', 'south african rock']",211960
651,5/4/2020 4:56,We The Kings,Kids In The Moonlight,neon pop punk,Monday,"['neon pop punk', 'piano rock', 'pop punk', 'pop rock', 'post-teen pop']",201813
652,5/4/2020 4:59,Lorrie Morgan,He Drinks Tequila,country,Monday,"['country', 'country dawn', 'country rock']",189040
653,5/4/2020 5:01,Post Malone,Psycho (feat. Ty Dolla $ign),dfw rap,Monday,"['dfw rap', 'melodic rap', 'rap']",74616
654,5/4/2020 19:16,Hot Country Knights,Pick Her Up - Radio Edit,contemporary country,Monday,['contemporary country'],157232
655,5/4/2020 19:20,Emotional Oranges,West Coast Love,alternative r&b,Monday,['alternative r&b'],215386
656,5/4/2020 19:23,Thomas Rhett,Almost,contemporary country,Monday,"['contemporary country', 'country', 'country road', 'modern country rock']",191591
657,5/4/2020 19:26,Loud Luxury,Body On My,dance pop,Monday,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'pop edm', 'tropical house']",192506
658,5/4/2020 19:27,Shakira,Addicted to You,colombian pop,Monday,"['colombian pop', 'dance pop', 'latin', 'latin pop', 'pop']",52399
659,5/4/2020 19:33,Brett Dennen,Comeback Kid (That's My Dog),acoustic pop,Monday,"['acoustic pop', 'indie folk', 'neo mellow', 'pop rock', 'stomp and holler']",178863
660,5/4/2020 19:39,Stealers Wheel,Stuck In The Middle With You,classic rock,Monday,"['classic rock', 'classic uk pop', 'folk rock', 'soft rock']",203893
