,endTime,artistName,trackName,Genre,msPlayed,Day of the Week
368,10/24/2019 16:07,Robin Schulz,Sugar (feat. Francesco Yates),dance pop,219043,Thursday
369,10/24/2019 16:10,Taio Cruz,Break Your Heart,dance pop,186266,Thursday
370,10/24/2019 16:14,Britney Spears,Toxic,dance pop,158868,Thursday
371,10/24/2019 19:11,Matthew West,Truth Be Told,anthem worship,219440,Thursday
372,10/24/2019 19:16,Bowling For Soup,Almost,comic,193953,Thursday
373,10/24/2019 19:20,Zac Brown Band,Whatever It Is - Greatest Hits Version,contemporary country,208346,Thursday
374,10/24/2019 19:26,Antonio Banderas,Cancion del Mariachi,hollywood,127226,Thursday
375,10/24/2019 19:34,Thomas Rhett,Center Point Road,contemporary country,94746,Thursday
376,10/24/2019 19:36,Thomas Rhett,That Old Truck,contemporary country,160968,Thursday
377,10/24/2019 19:39,Thomas Rhett,VHS,contemporary country,163119,Thursday
378,10/24/2019 19:46,Thomas Rhett,Notice,contemporary country,108022,Thursday
379,10/24/2019 21:16,Pitbull,Echa Pa'lla (Manos Pa'rriba) (feat. Papayo),dance pop,196440,Thursday
380,10/24/2019 21:17,Flo Rida,GDFR (feat. Sage the Gemini and Lookas) - Noodles Remix,dance pop,67024,Thursday
381,10/24/2019 21:40,Boys Like Girls,Five Minutes to Midnight,neo mellow,227360,Thursday
382,10/24/2019 21:51,Foo Fighters,Learn to Fly,alternative metal,235293,Thursday
383,10/24/2019 21:53,Willy William,La La La,francoton,161847,Thursday
384,10/24/2019 21:58,Rush,Limelight,album rock,259840,Thursday
385,10/24/2019 22:04,Tech N9ne,Worldwide Choppers,hip hop,326426,Thursday
386,10/24/2019 22:08,Hollywood Undead,Everywhere I Go,alternative metal,210466,Thursday
387,10/24/2019 22:14,Boys Like Girls,Heels Over Head - Tom Lord-Alge Mix,neo mellow,188440,Thursday
388,10/24/2019 22:19,Eminem,Without Me,detroit hip hop,290320,Thursday
389,10/24/2019 22:26,Qwote,Throw Your Hands Up (Dancar Kuduro) [Radio Edit] (feat. Pitbull & Lucenzo),dance music,213066,Thursday
390,10/24/2019 22:30,Skillet,Hero,alternative metal,186813,Thursday
391,10/24/2019 22:33,Skillet,Monster,alternative metal,178013,Thursday
392,10/24/2019 22:44,We The Kings,"Check Yes, Juliet",neon pop punk,220146,Thursday
393,10/24/2019 23:17,Zac Brown Band,Jump Right In - Greatest Hits Version,contemporary country,123961,Thursday
394,10/25/2019 14:36,Limahl,Never Ending Story,new romantic,183587,Friday
395,10/25/2019 14:40,Matthew West,Truth Be Told,anthem worship,219440,Friday
396,10/25/2019 14:44,Justin Bieber,That Should Be Me,canadian pop,230786,Friday
397,10/25/2019 15:48,Dan + Shay,"10,000 Hours (with Justin Bieber)",contemporary country,139425,Friday
398,10/25/2019 15:53,Pentatonix,Sing,a cappella,177240,Friday
399,10/25/2019 16:38,Ed Sheeran,Remember The Name (feat. Eminem & 50 Cent),pop,207760,Friday
400,10/25/2019 18:34,Taylor Swift,State Of Grace,dance pop,101153,Friday
401,10/25/2019 20:00,Limahl,Never Ending Story,new romantic,212173,Friday
402,10/25/2019 20:13,Ed Sheeran,Castle on the Hill,pop,261153,Friday
403,10/25/2019 20:28,Taylor Swift,Holy Ground,dance pop,201853,Friday
404,10/25/2019 20:35,Straight No Chaser,Text Me Merry Christmas (feat. Kristen Bell),a cappella,160840,Friday
405,10/25/2019 20:49,Neil Diamond,Cracklin' Rosie,adult standards,178853,Friday
406,10/25/2019 20:53,Dan + Shay,Speechless,contemporary country,212745,Friday
